(2.202,117318,1482522103001,1482522102997,1482522103000)
(2.2,75127,1482522104003,1482522103991,1482522104000)
(2.2,71886,1482522105005,1482522104975,1482522105000)
(2.202,98433,1482522106000,1482522105997,1482522106000)
(2.201,105247,1482522107000,1482522106989,1482522107000)
(2.203,126343,1482522108006,1482522107992,1482522108000)
(2.198,96083,1482522109002,1482522108990,1482522109000)
(2.203,72055,1482522110000,1482522109993,1482522110000)
(2.201,138564,1482522110999,1482522110998,1482522111000)
(2.202,126469,1482522112004,1482522111976,1482522112000)
(2.2,162880,1482522113002,1482522112977,1482522113000)
(2.201,69781,1482522113999,1482522113981,1482522114000)
(2.201,97724,1482522115019,1482522114967,1482522115000)
(2.204,57119,1482522115999,1482522115989,1482522116000)
(2.2,187388,1482522117001,1482522116995,1482522117000)
(2.201,106847,1482522118000,1482522117989,1482522118000)
(2.201,130606,1482522118999,1482522118993,1482522119000)
(2.203,104429,1482522120000,1482522119983,1482522120000)
(2.201,161731,1482522121000,1482522120991,1482522121000)
(2.2,102684,1482522122000,1482522121972,1482522122000)
(2.203,85900,1482522123002,1482522122991,1482522123000)
(2.201,101087,1482522124000,1482522123971,1482522124000)
(2.201,101809,1482522125006,1482522124996,1482522125000)
(2.203,67267,1482522126000,1482522125998,1482522126000)
(2.201,101103,1482522126999,1482522126981,1482522127000)
(2.199,85553,1482522128000,1482522127991,1482522128000)
(2.201,129720,1482522128999,1482522128995,1482522129000)
(2.353,235,1482522129000,1482522128996,1482522129000)
(2.202,163774,1482522129999,1482522129999,1482522130000)
(2.201,159637,1482522131000,1482522130999,1482522131000)
(2.2,116745,1482522131999,1482522131988,1482522132000)
(2.201,82289,1482522132999,1482522132977,1482522133000)
(2.2,75158,1482522134000,1482522133940,1482522134000)
(2.204,87981,1482522135001,1482522134995,1482522135000)
(2.2,141491,1482522136000,1482522135994,1482522136000)
(2.2,80200,1482522137000,1482522136999,1482522137000)
(2.202,175289,1482522137999,1482522137998,1482522138000)
(2.2,115487,1482522139000,1482522138977,1482522139000)
(2.201,81370,1482522140000,1482522139995,1482522140000)
(2.202,99404,1482522141000,1482522140987,1482522141000)
(2.203,57157,1482522142004,1482522141966,1482522142000)
(2.2,115165,1482522142999,1482522142998,1482522143000)
(2.201,138699,1482522144000,1482522143985,1482522144000)
(2.201,99380,1482522144999,1482522144992,1482522145000)
(2.203,143738,1482522145999,1482522145992,1482522146000)
(2.2,155665,1482522147001,1482522146995,1482522147000)
(2.201,220731,1482522148000,1482522147991,1482522148000)
(2.203,124959,1482522149003,1482522148995,1482522149000)
(2.199,94667,1482522150000,1482522149986,1482522150000)
(2.203,105466,1482522151001,1482522150974,1482522151000)
(2.2,117397,1482522152005,1482522151989,1482522152000)
