(2.21,24019,18)
(2.2,108640,6)
(2.2,216457,3)
(2.201,320266,2)
(2.201,377776,2)
(2.201,390450,1)
(2.202,407067,4)
(2.202,434799,2)
(2.201,371908,6)
(2.201,281290,1)
(2.202,265169,10)
(2.201,321369,9)
(2.201,468031,7)
(2.201,430761,7)
(2.201,365386,4)
(2.202,465641,6)
(2.201,461899,2)
(2.201,353913,7)
(2.202,295796,2)
(2.201,406058,6)
(2.201,514940,3)
(2.201,512601,8)
(2.201,508089,1)
(2.201,507649,6)
(2.201,503655,4)
(2.201,497014,2)
(2.201,506563,5)
(2.201,514673,3)
(2.201,515566,1)
(2.201,512894,2)
(2.202,510921,12)
(2.201,511797,5)
(2.201,519685,6)
(2.201,522354,6)
(2.201,525685,6)
(2.201,492107,2)
(2.201,487924,0)
(2.201,521823,1)
(2.201,518934,5)
(2.201,520859,0)
(2.201,523970,7)
(2.201,523812,1)
(2.202,515608,1)
(2.202,513231,7)
(2.201,520087,4)
(2.201,520633,3)
(2.201,518573,1)
(2.201,516637,1)
(2.201,515764,2)
(2.201,517980,2)
(2.201,523043,6)
(2.201,522037,2)
(2.201,528569,1)
(2.201,527682,3)
(2.201,527402,1)
(2.201,509668,2)
(2.201,500293,1)
(2.201,522619,6)
(2.201,529571,1)
(2.201,530796,2)
(2.202,526619,2)
(2.201,517296,7)
(2.201,517595,0)
(2.202,523594,1)
(2.201,526396,5)
(2.201,529046,1)
(2.201,519159,2)
(2.201,520260,1)
(2.201,525782,3)
(2.201,522309,1)
(2.201,521169,7)
(2.201,520566,1)
(2.201,523086,1)
(2.201,521406,4)
(2.201,519952,1)
(2.202,427534,8)
(2.201,348317,2)
(2.201,369306,6)
(2.201,340383,11)
(2.201,289004,7)
