(,,2.182,9562,12,1484391346001,,)
(,,2.195,9469,12,1484391346001,,)
(,,2.229,9274,12,1484391346001,,)
(,,2.213,9440,12,1484391346001,,)
(,,2.173,9406,13,1484391346002,,)
(,,2.198,9462,13,1484391346002,,)
(,,2.214,9378,13,1484391346002,,)
(,,2.195,9291,13,1484391346002,,)
(,,2.23,9431,13,1484391346002,,)
(,,2.199,22796,35,1484391348001,,)
(,,2.185,22574,35,1484391348001,,)
(,,2.201,22411,35,1484391348001,,)
(,,2.188,22581,35,1484391348001,,)
(,,2.199,22713,35,1484391348001,,)
(,,2.201,22816,36,1484391348002,,)
(,,2.207,22322,36,1484391348002,,)
(,,2.203,22512,36,1484391348002,,)
(,,2.212,22513,36,1484391348002,,)
(,,2.204,23356,5,1484391350001,,)
(,,2.193,23123,4,1484391350001,,)
(,,2.187,23621,5,1484391350001,,)
(,,2.2,23526,4,1484391350001,,)
(,,2.197,23577,5,1484391350001,,)
(,,2.195,23416,5,1484391350001,,)
(,,2.203,23510,4,1484391350001,,)
(,,2.208,23665,5,1484391350002,,)
(,,2.215,23564,5,1484391350002,,)
(,,2.199,24548,31,1484391352000,,)
(,,2.21,24022,31,1484391352000,,)
(,,2.185,24232,31,1484391352000,,)
(,,2.194,24336,32,1484391352001,,)
(,,2.194,24031,32,1484391352001,,)
(,,2.208,24357,32,1484391352001,,)
(,,2.192,24139,32,1484391352001,,)
(,,2.203,24152,32,1484391352001,,)
(,,2.202,24280,32,1484391352001,,)
(,,2.193,25167,27,1484391354000,,)
(,,2.197,24675,28,1484391354001,,)
(,,2.196,24660,28,1484391354001,,)
(,,2.199,24899,28,1484391354001,,)
(,,2.213,24826,28,1484391354001,,)
(,,2.201,24889,28,1484391354001,,)
(,,2.191,24564,28,1484391354001,,)
(,,2.201,24577,28,1484391354001,,)
(,,2.199,24942,28,1484391354001,,)
(,,2.197,27522,3,1484391356000,,)
(,,2.19,27484,3,1484391356000,,)
(,,2.201,27154,3,1484391356000,,)
(,,2.194,27309,3,1484391356000,,)
(,,2.199,27344,3,1484391356000,,)
(,,2.206,27333,3,1484391356000,,)
(,,2.204,27469,3,1484391356000,,)
(,,2.209,27100,4,1484391356001,,)
(,,2.195,27447,4,1484391356001,,)
(,,2.186,28125,42,1484391358000,,)
(,,2.189,27897,42,1484391358000,,)
(,,2.211,27771,42,1484391358000,,)
(,,2.201,27700,42,1484391358000,,)
(,,2.197,27930,43,1484391358001,,)
(,,2.211,28350,43,1484391358001,,)
(,,2.203,28152,43,1484391358001,,)
(,,2.206,27881,43,1484391358001,,)
(,,2.197,28034,43,1484391358001,,)
(,,2.196,25755,5,1484391360000,,)
(,,2.195,25409,6,1484391360001,,)
(,,2.211,25097,6,1484391360001,,)
(,,2.215,25209,6,1484391360001,,)
(,,2.191,25455,6,1484391360001,,)
(,,2.199,25469,6,1484391360001,,)
(,,2.198,25278,6,1484391360001,,)
(,,2.213,25464,6,1484391360001,,)
(,,2.191,25503,6,1484391360001,,)
(,,2.205,24865,44,1484391362000,,)
(,,2.203,24581,45,1484391362001,,)
(,,2.209,24581,45,1484391362001,,)
(,,2.199,24764,45,1484391362001,,)
(,,2.177,24989,45,1484391362001,,)
(,,2.201,24691,45,1484391362001,,)
(,,2.19,24779,45,1484391362001,,)
(,,2.22,24787,45,1484391362001,,)
(,,2.193,24895,45,1484391362001,,)
(,,2.209,22301,29,1484391364000,,)
(,,2.198,22388,29,1484391364000,,)
(,,2.189,22342,29,1484391364000,,)
(,,2.204,22145,29,1484391364000,,)
(,,2.18,22486,29,1484391364000,,)
(,,2.219,22341,29,1484391364000,,)
(,,2.187,22576,29,1484391364000,,)
(,,2.206,22446,30,1484391364001,,)
(,,2.201,22771,30,1484391364001,,)
(,,2.204,25144,6,1484391366000,,)
(,,2.206,25023,6,1484391366000,,)
(,,2.185,25310,6,1484391366000,,)
(,,2.205,25257,6,1484391366000,,)
(,,2.199,25366,6,1484391366000,,)
(,,2.23,25166,6,1484391366000,,)
(,,2.189,25273,7,1484391366001,,)
(,,2.191,25287,7,1484391366001,,)
(,,2.189,25439,7,1484391366001,,)
(,,2.192,23898,11,1484391368000,,)
(,,2.199,23846,11,1484391368000,,)
(,,2.193,24053,11,1484391368000,,)
(,,2.196,24061,11,1484391368000,,)
(,,2.212,24283,12,1484391368001,,)
(,,2.22,24266,12,1484391368001,,)
(,,2.201,23966,12,1484391368001,,)
(,,2.188,23824,12,1484391368001,,)
(,,2.203,24124,12,1484391368001,,)
(,,2.202,25079,3,1484391370000,,)
(,,2.201,25132,4,1484391370001,,)
(,,2.204,25053,4,1484391370001,,)
(,,2.189,25260,4,1484391370001,,)
(,,2.202,25248,4,1484391370001,,)
(,,2.207,25389,4,1484391370001,,)
(,,2.203,25185,4,1484391370001,,)
(,,2.183,25098,4,1484391370001,,)
(,,2.207,25039,4,1484391370001,,)
(,,2.2,24958,46,1484391372001,,)
(,,2.18,24688,46,1484391372001,,)
(,,2.22,24742,46,1484391372001,,)
(,,2.196,24641,46,1484391372001,,)
(,,2.212,24719,46,1484391372001,,)
(,,2.207,24784,46,1484391372001,,)
(,,2.197,24583,46,1484391372001,,)
(,,2.192,24507,46,1484391372001,,)
(,,2.196,24492,46,1484391372001,,)
(,,2.181,26068,17,1484391374000,,)
(,,2.193,25788,17,1484391374000,,)
(,,2.206,26379,17,1484391374000,,)
(,,2.195,25741,17,1484391374000,,)
(,,2.208,25901,17,1484391374000,,)
