(2.2,1000000,13354,1482680936000)
(2.2,2000000,10968,1482680946000)
(2.2,1516428,5282,1482680956000)
(2.201,616398,1612,1482680966000)
(2.201,168620,1352,1482680976000)
(2.202,126350,1153,1482680986000)
(2.203,116130,1067,1482680996000)
(2.2,123050,1200,1482681006000)
(2.199,123710,916,1482681016000)
(2.202,131210,1253,1482681026000)
(2.202,135800,1130,1482681036000)
(2.201,128560,938,1482681046000)
(2.2,144860,1164,1482681056000)
(2.202,157070,1022,1482681066000)
(2.202,158910,1160,1482681076000)
(2.201,157770,1083,1482681086000)
(2.201,151010,994,1482681096000)
(2.201,159360,1202,1482681106000)
(2.201,159700,999,1482681116000)
(2.201,159160,1040,1482681126000)
(2.201,171870,925,1482681136000)
(2.201,189130,1060,1482681146000)
(2.202,202100,1068,1482681156000)
(2.201,201410,966,1482681166000)
(2.201,214810,1209,1482681176000)
(2.201,216160,1040,1482681186000)
(2.202,207550,945,1482681196000)
(2.202,222670,1102,1482681206000)
(2.2,228630,1047,1482681216000)
(2.201,228810,1224,1482681226000)
(2.201,223570,1057,1482681236000)
(2.202,215780,1098,1482681246000)
(2.202,217900,1051,1482681256000)
(2.201,221150,1010,1482681266000)
(2.2,233940,1330,1482681276000)
(2.201,220000,886,1482681286000)
(2.202,217410,1438,1482681296000)
(2.201,204790,866,1482681306000)
(2.201,191770,996,1482681316000)
(2.201,219820,957,1482681326000)
(2.201,241200,1226,1482681336000)
(2.201,236190,938,1482681346000)
(2.201,233490,987,1482681356000)
(2.202,257640,1332,1482681366000)
(2.201,234700,860,1482681376000)
(2.201,226450,937,1482681386000)
(2.201,259990,1019,1482681396000)
(2.202,272760,1058,1482681406000)
(2.202,277330,1138,1482681416000)
(2.2,272390,1140,1482681426000)
(2.201,257150,1155,1482681436000)
(2.201,238980,1066,1482681446000)
(2.201,228910,1014,1482681456000)
(2.201,230930,1031,1482681466000)
(2.202,233440,918,1482681476000)
