(,,2.187,20738,488,1484396245915,,)
(,,2.197,20488,488,1484396245915,,)
(,,2.182,20622,488,1484396245915,,)
(,,2.194,20679,488,1484396245915,,)
(,,2.212,20855,499,1484396245926,,)
(,,2.203,20673,500,1484396245927,,)
(,,2.217,20780,500,1484396245927,,)
(,,2.208,20791,500,1484396245927,,)
(,,2.191,20670,500,1484396245927,,)
(,,2.183,46447,499,1484396251759,,)
(,,2.197,46236,499,1484396251759,,)
(,,2.193,46003,499,1484396251759,,)
(,,2.203,46307,499,1484396251759,,)
(,,2.209,46012,517,1484396251777,,)
(,,2.204,46285,517,1484396251777,,)
(,,2.19,46037,517,1484396251777,,)
(,,2.203,46201,517,1484396251777,,)
(,,2.206,46653,517,1484396251777,,)
(,,2.204,44351,519,1484396257596,,)
(,,2.203,44080,520,1484396257597,,)
(,,2.191,44408,520,1484396257597,,)
(,,2.191,44337,520,1484396257597,,)
(,,2.192,44570,531,1484396257608,,)
(,,2.194,44644,532,1484396257609,,)
(,,2.21,44284,532,1484396257609,,)
(,,2.205,44700,532,1484396257609,,)
(,,2.201,44626,532,1484396257609,,)
(,,2.213,44219,450,1484396263339,,)
(,,2.203,44440,450,1484396263339,,)
(,,2.202,44536,450,1484396263339,,)
(,,2.197,44713,450,1484396263339,,)
(,,2.202,44549,466,1484396263355,,)
(,,2.195,44537,466,1484396263355,,)
(,,2.187,44488,466,1484396263355,,)
(,,2.193,44045,466,1484396263355,,)
(,,2.198,44473,466,1484396263355,,)
(,,2.197,44701,471,1484396269238,,)
(,,2.2,44138,471,1484396269238,,)
(,,2.214,44396,471,1484396269238,,)
(,,2.183,44410,471,1484396269238,,)
(,,2.207,44474,440,1484396269207,,)
(,,2.194,44435,440,1484396269207,,)
(,,2.203,44295,440,1484396269207,,)
(,,2.204,44511,441,1484396269208,,)
(,,2.189,44640,441,1484396269208,,)
(,,2.205,44348,398,1484396275044,,)
(,,2.185,44397,398,1484396275044,,)
(,,2.203,43915,398,1484396275044,,)
(,,2.201,44157,398,1484396275044,,)
(,,2.19,44722,414,1484396275060,,)
(,,2.204,44622,414,1484396275060,,)
(,,2.203,44590,414,1484396275060,,)
(,,2.201,44520,414,1484396275060,,)
(,,2.199,44729,414,1484396275060,,)
