(2.202,131873,3)
(2.201,373181,1)
(2.201,322291,3)
(2.201,420988,4)
(2.201,424228,1)
(2.201,485326,4)
(2.201,416715,5)
(2.201,389895,1)
(2.202,315515,2)
(2.201,519116,1)
(2.201,526190,3)
(2.201,528809,1)
(2.201,528848,2)
(2.201,539984,7)
(2.201,522430,3)
(2.201,530169,6)
(2.201,522235,1)
(2.202,522185,9)
(2.201,530688,2)
(2.201,522780,5)
(2.209,528516,2)
(2.217,533738,2)
(2.217,521691,7)
(2.217,534542,1)
(2.217,499938,4)
(2.217,540146,2)
(2.217,515644,2)
(2.217,527578,8)
(2.217,536556,5)
(2.217,524103,2)
(2.217,483501,6)
(2.217,387151,1)
