(2.243,1291,50)
(2.215,55467,7)
(2.218,93147,20)
(2.216,132222,11)
(2.218,186001,2)
(2.217,197034,7)
(2.216,217434,22)
(2.218,187782,19)
(2.216,216564,5)
(2.218,215558,11)
(2.217,214227,15)
(2.218,163476,11)
(2.216,138861,16)
(2.217,199070,5)
(2.217,240816,17)
(2.217,218760,4)
(2.218,234752,26)
(2.216,143205,10)
(2.218,138738,21)
(2.217,212094,28)
(2.217,254091,14)
(2.217,242267,10)
(2.217,257449,14)
(2.217,250506,56)
(2.217,244385,11)
(2.217,240833,10)
(2.217,250729,12)
(2.217,254246,13)
(2.211,257610,10)
(2.215,243977,11)
(2.217,254133,2)
(2.217,253650,2)
(2.218,229242,121)
