(2.204,18080,92)
(2.202,559448,35)
(2.202,1047729,11)
(2.202,1010440,16)
(2.202,1010988,1)
(2.202,1004867,4)
(2.202,1004263,12)
(2.201,997151,2)
(2.202,1002100,4)
(2.202,1010748,4)
(2.202,999685,16)
(2.202,1016219,2)
(2.202,1016753,10)
(2.202,981888,3)
(2.202,986236,4)
(2.202,1006739,3)
(2.201,1013132,13)
(2.202,1011769,20)
(2.202,1000455,23)
(2.202,1000208,16)
(2.202,992934,4)
(2.202,999431,10)
(2.202,1002546,2)
(2.202,995600,3)
(2.202,979457,7)
(2.201,1004828,8)
(2.201,1025642,23)
(2.202,1000664,61)
(2.202,1000000,69)
(2.202,963948,28)
