(2.208,30000,2418,1482523459000)
(2.201,30000,2178,1482523460000)
(2.193,30000,1776,1482523461000)
(2.201,30000,1377,1482523462000)
(2.216,15797,786,1482523463000)
(2.188,15745,401,1482523464000)
(2.217,15989,317,1482523465000)
(2.185,16195,317,1482523466000)
(2.209,16218,288,1482523467000)
(2.186,16343,335,1482523468000)
